F.endolithicus	F.simplex	H.werneckii
0.391748	0.11535	0.244655
0.227548	0.156003	0.164598
0.214969	0.2136	0.634166
0.460637	0.092436	0.358954
0.326334	0.227596	0.247023
0.14696	0.18473	0.349275
0.812599	0.104101	0.40858
0.769086	0.220623	0.592381
0.294547	0.129553	0.189513
0.466635	0.126453	0.397756
0.455774	0.163063	0.368486
0.521517	0.032271	0.356405
0.828631	0.143982	0.295786
0.246754	0.066925	0.365882
0.169931	0.143418	0.284192
0.279251	0.141854	0.472946
0.246822	0.236652	0.424555
0.567371	0.122025	0.278607
0	1.234256	0.269637
0.326752	2.6783	0.259318
0.365142	0.308227	0.433869
0.610723	0.178159	0.621413
0.343283	0.08672	0.348032
0	0.16281	0.280319
0.113604	0.159049	0.332734
0.379687	0.1926	0.348548
0.152829	0.193357	0.157382
0.265275	0.042459	0.138179
0.386196	0.030786	0.363895
0.295841	0.224015	0.449724
0.565184	0.125875	0.546754
0.501339	0.082066	0.611175
0.200511	0.498269	0.296703
0.40608	0.068231	0.247106
0.309945	0.12788	0.324704
0.392079	0.138684	0.398516
0.246127	0.17085	0.285555
0.261898	0.105039	0.411778
0.308442	0.183343	0.454881
0.428545	0.140662	0.553045
0.244771	0.172648	0.268374
0.382956	0.03193	0.346237
0.422565	0.085495	0.588607
0.408677	0.217759	0.289985
0.312551	0.146941	0.453998
0.243866	0.67709	0.261609
0.23025	0.178346	0.228554
2.152976	2.021151	0.785491
0.478749	3.781591	0.738218
0.228076	2.579263	0.94874
0.345756	3.779653	0.50162
0.455033	0.26634	0.520234
0.213713	0.162541	0.422162
0.188302	0.172085	0.793781
0	0.147102	0.223373
0.381217	0.21619	0.305209
0.219325	0.148245	0.427823
0.268236	0	0.447053
0.294835	0.364639	0.447881
0.41395	0.109506	0.410578
0.221851	0.129875	0.241285
0.329385	0.261443	0.304855
0	0.255986	0.425343
0.408014	0.088575	0.540629
0.470213	0.177016	0.397285
0.308862	0.243763	0.300955
0.288478	0.108244	0.57014
0.33257	0.105596	0.638602
0.260766	0.161778	0.331647
0.326344	0.285052	0.315987
0.437554	0.163825	0.492239
2.999659	0.313507	0.927613
0.619821	0.119107	0.513947
0.248486	0.075155	0.537366
0.337662	0.06754	0.276421
0.419842	0.203113	0.514705
0.456251	0.16026	0.406172
0.420342	0.195918	0.350362
0.13267	0.201411	0.223719
0.431644	0.078738	0.203282
0.141345	0.204074	0.500508
0.471814	0.296493	0.239346
0.200541	0.141204	0.302217
0.375242	0.127291	0.406171
0.286862	0.089682	0.254097
0.308454	0.209508	0.41257
0.656741	0.211333	0.230734
0.319657	0.085691	0.586736
0.262787	0.06391	0.12986
0.280347	0.140097	0.447766
0.329361	0.266388	0.274066
0.36592	0	0.390294
0.312546	0	0.287231
0.265325	0	0.312083
0.318136	2.343697	0.213995
0.222714	0.061258	0.300494
0.16376	0.054551	0.492259
0.433378	0.2531	0.261217
0.324896	0.249153	0.357081
0.340008	0.117611	0.325059
0.366853	0.346492	0.454787
0.563863	3.259316	0.330322
0.36506	2.61268	0.15195
0.469445	0.146583	0.392783
0.434603	0.129827	0.305264
0.086413	0.075865	0.442946
0.314142	0.204686	0.309082
0.147301	0.089254	0.200639
0.317582	0.037759	0.341411
0.331546	0.308506	0.186879
0.468511	0.163941	0.827151
0.293349	0.201852	0.218677
0.339963	0.220679	0.405578
0.316462	0.151385	0.527677
0.077223	0.051032	0.569176
0.365933	0.289575	0.528076
0.50991	0.91719	0.422964
0.394607	0.390848	0.316274
0.330804	0.91719	0.310411
0.159527	99	0.391186
0.198832	0	0.457686
0.282285	99	0.338481
0.885421	0.0836	1.107648
0.258385	0.149847	0.438547
0.142997	0.079302	0.400219
0.378978	0.050692	0.36212
0.35646	0.267853	0.365252
0.346872	0.139013	0.244187
0.412542	0.114328	0.250865
0.238077	0.10424	0.391688
0.259869	0.220724	0.41111
0.209491	0.116185	0.470399
0.118516	0.154698	0.69943
0.34686	0.197104	0.410232
0.56844	0.261735	0.210036
0.540807	0.22208	0.280255
0.534822	0.138751	0.487943
0.192476	0.27009	0.244744
0.252814	0.282182	0.41733
0.492574	0.209823	1.849647
0.214473	0.24904	0.580723
0.198088	0.074804	0.232557
0.402049	0.085277	0.295333
0.288221	0.294545	0.305402
0.347206	0.140516	0.237232
0.411504	0.132889	0.474854
0.394068	0.218022	0.180359
0.087994	0.128786	0.330156
0.214569	0.203014	0.342543
0.35346	0.193835	0.35328
0.351841	0.308143	0.377379
0.302054	0.371952	0.221408
0.434283	0.177582	0.516269
0.408457	0.157069	0.356196
0.375099	0.135848	0.318302
0.318255	0.112565	0.646132
0.296739	0.065774	0.431328
0.384522	0.117276	0.337082
0.483892	0.147749	0.2465
0.414419	0.043772	0.157386
0.173419	0.086755	0.34584
0.311212	0.108934	0.428094
0.400285	0.131866	0.79715
0.440573	0.102676	0.45681
0.693199	0.258611	0.486072
0.357685	0.160302	1.375004
0.596861	0.078102	0.480767
0.265854	0.081244	0.487586
